opcode_dec,opcode_hex,name
0,0x000,MSG_NULL
1,0x001,CMSG_BOOTME
2,0x002,CMSG_DBLOOKUP
3,0x003,SMSG_DBLOOKUP
4,0x004,CMSG_QUERY_OBJECT_POSITION
5,0x005,SMSG_QUERY_OBJECT_POSITION
6,0x006,CMSG_QUERY_OBJECT_ROTATION
7,0x007,SMSG_QUERY_OBJECT_ROTATION
8,0x008,CMSG_WORLD_TELEPORT
9,0x009,CMSG_TELEPORT_TO_UNIT
10,0x00A,CMSG_ZONE_MAP
11,0x00B,SMSG_ZONE_MAP
12,0x00C,CMSG_DEBUG_CHANGECELLZONE
13,0x00D,CMSG_MOVE_CHARACTER_CHEAT
14,0x00E,SMSG_MOVE_CHARACTER_CHEAT
15,0x00F,CMSG_RECHARGE
16,0x010,
17,0x011,CMSG_CREATEMONSTER
18,0x012,CMSG_DESTROYMONSTER
19,0x013,CMSG_CREATEITEM
20,0x014,CMSG_CREATEGAMEOBJECT
21,0x015,SMSG_CHECK_FOR_BOTS
22,0x016,CMSG_MAKEMONSTERATTACKGUID
23,0x017,CMSG_BOT_DETECTED2
24,0x018,CMSG_FORCEACTION
25,0x019,CMSG_FORCEACTIONONOTHER
26,0x01A,CMSG_FORCEACTIONSHOW
27,0x01B,SMSG_FORCEACTIONSHOW
28,0x01C,CMSG_PETGODMODE
29,0x01D,SMSG_PETGODMODE
30,0x01E,SMSG_REFER_A_FRIEND_EXPIRED
31,0x01F,CMSG_WEATHER_SPEED_CHEAT
32,0x020,CMSG_UNDRESSPLAYER
33,0x021,CMSG_BEASTMASTER
34,0x022,CMSG_GODMODE
35,0x023,SMSG_GODMODE
36,0x024,CMSG_CHEAT_SETMONEY
37,0x025,CMSG_LEVEL_CHEAT
38,0x026,CMSG_PET_LEVEL_CHEAT
39,0x027,CMSG_SET_WORLDSTATE
40,0x028,CMSG_COOLDOWN_CHEAT
41,0x029,CMSG_USE_SKILL_CHEAT
42,0x02A,CMSG_FLAG_QUEST
43,0x02B,CMSG_FLAG_QUEST_FINISH
44,0x02C,CMSG_CLEAR_QUEST
45,0x02D,CMSG_SEND_EVENT
46,0x02E,CMSG_DEBUG_AISTATE
47,0x02F,SMSG_DEBUG_AISTATE
48,0x030,CMSG_DISABLE_PVP_CHEAT
49,0x031,CMSG_ADVANCE_SPAWN_TIME
50,0x032,SMSG_DESTRUCTIBLE_BUILDING_DAMAGE
51,0x033,CMSG_AUTH_SRP6_BEGIN
52,0x034,CMSG_AUTH_SRP6_PROOF
53,0x035,CMSG_AUTH_SRP6_RECODE
54,0x036,CMSG_CHAR_CREATE
55,0x037,CMSG_CHAR_ENUM
56,0x038,CMSG_CHAR_DELETE
57,0x039,SMSG_AUTH_SRP6_RESPONSE
58,0x03A,SMSG_CHAR_CREATE
59,0x03B,SMSG_CHAR_ENUM
60,0x03C,SMSG_CHAR_DELETE
61,0x03D,CMSG_PLAYER_LOGIN
62,0x03E,SMSG_NEW_WORLD
63,0x03F,SMSG_TRANSFER_PENDING
64,0x040,SMSG_TRANSFER_ABORTED
65,0x041,SMSG_CHARACTER_LOGIN_FAILED
66,0x042,SMSG_LOGIN_SETTIMESPEED
67,0x043,SMSG_GAMETIME_UPDATE
68,0x044,CMSG_GAMETIME_SET
69,0x045,SMSG_GAMETIME_SET
70,0x046,CMSG_GAMESPEED_SET
71,0x047,SMSG_GAMESPEED_SET
72,0x048,CMSG_SERVERTIME
73,0x049,SMSG_SERVERTIME
74,0x04A,CMSG_PLAYER_LOGOUT
75,0x04B,CMSG_LOGOUT_REQUEST
76,0x04C,SMSG_LOGOUT_RESPONSE
77,0x04D,SMSG_LOGOUT_COMPLETE
78,0x04E,CMSG_LOGOUT_CANCEL
79,0x04F,SMSG_LOGOUT_CANCEL_ACK
80,0x050,CMSG_NAME_QUERY
81,0x051,SMSG_NAME_QUERY_RESPONSE
82,0x052,CMSG_PET_NAME_QUERY
83,0x053,SMSG_PET_NAME_QUERY_RESPONSE
84,0x054,CMSG_GUILD_QUERY
85,0x055,SMSG_GUILD_QUERY_RESPONSE
86,0x056,CMSG_ITEM_QUERY_SINGLE
87,0x057,CMSG_ITEM_QUERY_MULTIPLE
88,0x058,SMSG_ITEM_QUERY_SINGLE_RESPONSE
89,0x059,SMSG_ITEM_QUERY_MULTIPLE_RESPONSE
90,0x05A,CMSG_PAGE_TEXT_QUERY
91,0x05B,SMSG_PAGE_TEXT_QUERY_RESPONSE
92,0x05C,CMSG_QUEST_QUERY
93,0x05D,SMSG_QUEST_QUERY_RESPONSE
94,0x05E,CMSG_GAMEOBJECT_QUERY
95,0x05F,SMSG_GAMEOBJECT_QUERY_RESPONSE
96,0x060,CMSG_CREATURE_QUERY
97,0x061,SMSG_CREATURE_QUERY_RESPONSE
98,0x062,CMSG_WHO
99,0x063,SMSG_WHO
100,0x064,CMSG_WHOIS
101,0x065,SMSG_WHOIS
102,0x066,CMSG_CONTACT_LIST
103,0x067,SMSG_CONTACT_LIST
104,0x068,SMSG_FRIEND_STATUS
105,0x069,CMSG_ADD_FRIEND
106,0x06A,CMSG_DEL_FRIEND
107,0x06B,CMSG_SET_CONTACT_NOTES
108,0x06C,CMSG_ADD_IGNORE
109,0x06D,CMSG_DEL_IGNORE
110,0x06E,CMSG_GROUP_INVITE
111,0x06F,SMSG_GROUP_INVITE
112,0x070,CMSG_GROUP_CANCEL
113,0x071,SMSG_GROUP_CANCEL
114,0x072,CMSG_GROUP_ACCEPT
115,0x073,CMSG_GROUP_DECLINE
116,0x074,SMSG_GROUP_DECLINE
117,0x075,CMSG_GROUP_UNINVITE
118,0x076,CMSG_GROUP_UNINVITE_GUID
119,0x077,SMSG_GROUP_UNINVITE
120,0x078,CMSG_GROUP_SET_LEADER
121,0x079,SMSG_GROUP_SET_LEADER
122,0x07A,CMSG_LOOT_METHOD
123,0x07B,CMSG_GROUP_DISBAND
124,0x07C,SMSG_GROUP_DESTROYED
125,0x07D,SMSG_GROUP_LIST
126,0x07E,SMSG_PARTY_MEMBER_STATS
